time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-04-09T05:51:40.840Z,34.1566667,-117.179,8.01,1.03,ml,13,184,0.0886,0.25,ci,ci37852864,2017-04-09T05:55:22.641Z,"4km NE of Highland, CA",earthquake,1.15,1.61,0.177,24,automatic,ci,ci
2017-04-09T05:33:25.750Z,38.836834,-122.783165,1.16,0.95,md,15,69,0.005823,0.02,nc,nc72786621,2017-04-09T05:40:04.038Z,"5km WNW of Cobb, California",earthquake,0.23,0.52,0.12,4,automatic,nc,nc
2017-04-09T05:33:13.662Z,60.3612,-152.3173,84.5,1.8,ml,,,,0.65,ak,ak15707194,2017-04-09T05:47:31.794Z,"27km ESE of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-04-09T05:30:06.210Z,38.8441658,-122.8306656,1.74,0.43,md,5,114,0.006722,0.01,nc,nc72786616,2017-04-09T08:01:01.265Z,"9km WNW of Cobb, California",earthquake,0.84,1.3,0.15,2,automatic,nc,nc
2017-04-09T05:24:57.190Z,38.8451653,-122.8065033,0.71,1.13,md,15,90,0.01213,0.03,nc,nc72786606,2017-04-09T07:07:02.188Z,"7km WNW of Cobb, California",earthquake,0.25,0.44,0.08,6,automatic,nc,nc
2017-04-09T04:58:58.200Z,19.173,-66.9919,30,3.3,Md,15,262.8,0.70966907,0.23,pr,pr17099003,2017-04-09T09:31:50.181Z,"74km N of Isabela, Puerto Rico",earthquake,1.2,10.6,0,12,reviewed,pr,pr
2017-04-09T04:31:22.400Z,18.9377,-64.886,30,2.8,Md,4,334.8,0.73033033,0.18,pr,pr17099002,2017-04-09T09:30:49.437Z,"64km NNW of Road Town, British Virgin Islands",earthquake,2.7,12.3,0,4,reviewed,pr,pr
2017-04-09T04:29:24.600Z,19.0739,-65.1315,35,3.1,Md,5,302.4,1.05013057,0.12,pr,pr17099001,2017-04-09T09:29:17.983Z,"83km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.1,13,0,5,reviewed,pr,pr
2017-04-09T04:24:48.548Z,38.3307,-118.8909,6.9,1.7,ml,14,64.26,0.16,0.179,nn,nn00584679,2017-04-09T16:11:23.996Z,"30km ENE of Bridgeport, California",earthquake,,4.5,0.18,7,reviewed,nn,nn
2017-04-09T04:16:21.709Z,64.3242,-148.2376,22.9,0.7,ml,,,,0.48,ak,ak15706974,2017-04-09T04:19:59.742Z,"50km ESE of North Nenana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-04-09T04:11:14.780Z,-53.3661,25.362,10,4.9,mb,,69,18.356,0.61,us,us10008fzh,2017-04-09T04:30:24.040Z,"South of Africa",earthquake,12.8,1.9,0.104,29,reviewed,us,us
2017-04-09T04:04:06.182Z,61.1148,-150.6385,52.7,2.6,ml,,,,0.51,ak,ak15706961,2017-04-09T15:20:41.927Z,"41km WSW of Anchorage, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-04-09T04:02:42.689Z,63.5935,-150.6589,13.2,1.3,ml,,,,0.45,ak,ak15706959,2017-04-09T04:06:46.719Z,"88km WSW of Healy, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-04-09T03:48:59.990Z,38.8064995,-122.8203354,5.93,0.97,md,12,175,0.01868,0.17,nc,nc72786601,2017-04-09T03:55:02.728Z,"6km WNW of The Geysers, California",earthquake,1.22,1.9,0.09,5,automatic,nc,nc
2017-04-09T03:45:46.162Z,61.4826,-149.9139,34.3,1.3,ml,,,,0.45,ak,ak15706956,2017-04-09T03:52:34.701Z,"4km SSE of Big Lake, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-04-09T03:45:42.000Z,40.1175003,-122.7463303,12,1.87,md,7,95,0.05263,0.05,nc,nc72786596,2017-04-09T06:42:02.135Z,"31km WNW of Rancho Tehama Reserve, California",earthquake,0.51,0.92,0.18,6,automatic,nc,nc
2017-04-09T03:16:43.340Z,38.7886658,-122.7058334,5.47,0.36,md,7,199,0.009028,0.05,nc,nc72786581,2017-04-09T05:17:03.001Z,"4km SSE of Cobb, California",earthquake,0.8,0.73,0.11,3,automatic,nc,nc
2017-04-09T03:14:20.090Z,13.6096,120.9608,75.94,4.6,mb,,130,8.723,0.95,us,us10008fza,2017-04-09T15:50:00.919Z,"11km N of Sabang, Philippines",earthquake,13.2,9.7,0.065,72,reviewed,us,us
2017-04-09T03:09:46.050Z,5.7086,-82.6289,10,5.2,mb,,128,2.856,0.91,us,us10008fz9,2017-04-09T03:27:43.040Z,"258km S of Punta de Burica, Panama",earthquake,7.4,1.9,0.039,214,reviewed,us,us
2017-04-09T03:05:29.350Z,-25.7726,-69.2356,105.54,4.9,mb,,64,0.686,1.34,us,us10008fz8,2017-04-09T12:11:32.423Z,"104km NE of Diego de Almagro, Chile",earthquake,6.5,4.1,0.04,193,reviewed,us,us
2017-04-09T02:52:42.210Z,34.0061667,-117.0115,12.6,1.72,ml,72,39,0.07297,0.18,ci,ci37852704,2017-04-09T14:59:02.440Z,"4km SE of Yucaipa, CA",earthquake,0.18,0.42,0.133,25,reviewed,ci,ci
2017-04-09T02:48:18.076Z,63.0721,-149.7234,91.9,1.3,ml,,,,0.81,ak,ak15706738,2017-04-09T02:55:37.768Z,"52km SW of Cantwell, Alaska",earthquake,,1.3,,,automatic,ak,ak
2017-04-09T02:18:19.310Z,38.8149986,-122.8119965,1.04,1.09,md,9,164,0.02879,0.12,nc,nc72786561,2017-04-09T04:10:03.908Z,"6km NW of The Geysers, California",earthquake,0.84,2.2,0.1,5,automatic,nc,nc
2017-04-09T01:50:25.390Z,47.575,-123.2848333,46.83,1.13,ml,5,148,0.1716,0.06,uw,uw61269171,2017-04-09T02:39:41.280Z,"35km WSW of Seabeck, Washington",earthquake,1.1,1.69,0.104,3,reviewed,uw,uw
2017-04-09T01:47:32.200Z,36.2015,-97.0305,5.12,3.9,mb_lg,,45,0.078,0.28,us,us10008fyt,2017-04-09T16:01:33.430Z,"9km NNE of Stillwater, Oklahoma",earthquake,1.6,6.5,0.045,130,reviewed,us,us
2017-04-09T01:06:24.500Z,18.1704,-67.3125,16,1.9,Md,4,316.8,0.21559567,0.1,pr,pr17099000,2017-04-09T04:07:56.731Z,"16km NW of Puerto Real, Puerto Rico",earthquake,0.9,0.6,0,2,reviewed,pr,pr
2017-04-09T00:59:46.670Z,38.8046684,-122.8216629,2.39,2.27,md,32,111,0.007215,0.04,nc,nc72786541,2017-04-09T02:51:03.631Z,"6km WNW of The Geysers, California",earthquake,0.22,0.34,0.17,13,automatic,nc,nc
2017-04-09T00:50:50.928Z,37.2073,-117.3536,0.1,2,ml,27,93.65,0.212,0.204,nn,nn00584676,2017-04-09T16:24:12.448Z,"56km S of Goldfield, Nevada",earthquake,,2.5,0.28,15,reviewed,nn,nn
